"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191","should get all groups for a client","👥 Client Services","Sat Sep 06 18:44:37 UTC 2025","failed","Sat Sep 06 18:44:37 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","174","should get audit log by ID","Audit Logs","Sat Sep 06 18:44:57 UTC 2025","failed","Sat Sep 06 18:44:57 UTC 2025","Identity Service - Audit Log Operations","api/features/identity/audit-logs/happy-path/audit-operations.api.spec.ts","",""
"","181","should track assignment metadata","👥 Client Services","Sat Sep 06 18:44:49 UTC 2025","failed","Sat Sep 06 18:44:49 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","178","should handle pagination for user-client associations","👥 Client Services","Sat Sep 06 18:44:47 UTC 2025","failed","Sat Sep 06 18:44:48 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","0","should expire password reset token after use","chromium","Sat Sep 06 18:45:37 UTC 2025","skipped","Sat Sep 06 18:45:37 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","308","should reject refresh token with invalid refresh token","Authentication","Sat Sep 06 18:45:04 UTC 2025","failed","Sat Sep 06 18:45:04 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","1","should check password strength","chromium","Sat Sep 06 18:45:37 UTC 2025","skipped","Sat Sep 06 18:45:37 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","262","should reject token validation with expired token","Authentication","Sat Sep 06 18:45:03 UTC 2025","failed","Sat Sep 06 18:45:03 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","172","should get all clients in a group","👥 Client Services","Sat Sep 06 18:44:35 UTC 2025","failed","Sat Sep 06 18:44:35 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","185","should delete client with typed client","👥 Client Services","Sat Sep 06 18:44:24 UTC 2025","failed","Sat Sep 06 18:44:25 UTC 2025","Client Management - CRUD with Typed NPM Packages","Client Operations","",""
"","191","should list all groups for a tenant","👥 Client Services","Sat Sep 06 18:44:30 UTC 2025","failed","Sat Sep 06 18:44:31 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","173","should accept invitation","User Invitations","Sat Sep 06 18:45:28 UTC 2025","failed","Sat Sep 06 18:45:28 UTC 2025","Identity Service - Invitation Operations","api/features/identity/invitations/happy-path/invitation-operations.api.spec.ts","",""
"","1039","should refresh token with valid refresh token","Authentication","Sat Sep 06 18:45:10 UTC 2025","failed","Sat Sep 06 18:45:11 UTC 2025","Authentication - Login Happy Path API Tests","api/features/identity/authentication/happy-path/login.api.spec.ts","",""
"","654","should refresh token with typed ctx.client","🔐 Security & Access","Sat Sep 06 18:45:22 UTC 2025","passed","Sat Sep 06 18:45:23 UTC 2025","User Login Process","Authentication Systems","",""
"","174","should delete a group","👥 Client Services","Sat Sep 06 18:44:29 UTC 2025","failed","Sat Sep 06 18:44:29 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","176","should grant permission to user","Permission Management","Sat Sep 06 18:45:44 UTC 2025","failed","Sat Sep 06 18:45:45 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","185","should create client group with typed client","👥 Client Services","Sat Sep 06 18:44:20 UTC 2025","failed","Sat Sep 06 18:44:20 UTC 2025","Client Management - CRUD with Typed NPM Packages","Client Operations","",""
"","1","should enforce password policy","chromium","Sat Sep 06 18:45:37 UTC 2025","skipped","Sat Sep 06 18:45:37 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","186","should list clients with typed client","👥 Client Services","Sat Sep 06 18:44:19 UTC 2025","failed","Sat Sep 06 18:44:19 UTC 2025","Client Management - CRUD with Typed NPM Packages","Client Operations","",""
