"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","should create a new client group","👥 Client Services","Mon Sep 15 18:11:42 UTC 2025","failed","Mon Sep 15 18:11:42 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","375","should logout successfully","chromium","Mon Sep 15 18:12:17 UTC 2025","passed","Mon Sep 15 18:12:17 UTC 2025","Authentication - Login Happy Path API Tests","api/features/identity/authentication/happy-path/login.api.spec.ts","",""
"","230","should prevent creating tenant with duplicate tenant name","🏢 Business Operations","Mon Sep 15 18:13:24 UTC 2025","failed","Mon Sep 15 18:13:24 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","386","should handle change password with typed ctx.client","chromium","Mon Sep 15 18:12:24 UTC 2025","passed","Mon Sep 15 18:12:24 UTC 2025","Business Feature: Platform Access Control","api/features/identity/authentication/happy-path/typed-login.api.spec.ts","",""
"","234","should return 404 when getting tenant by non-existing ID","🏢 Business Operations","Mon Sep 15 18:13:33 UTC 2025","passed","Mon Sep 15 18:13:33 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","137","should reject refresh token with invalid refresh token","chromium","Mon Sep 15 18:12:14 UTC 2025","passed","Mon Sep 15 18:12:14 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","321","should delete permission","Permission Management","Mon Sep 15 18:12:41 UTC 2025","failed","Mon Sep 15 18:12:41 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","298","should retrieve permission by ID","Permission Management","Mon Sep 15 18:12:38 UTC 2025","failed","Mon Sep 15 18:12:38 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","456","should retrieve audit logs","Audit Logs","Mon Sep 15 18:12:07 UTC 2025","passed","Mon Sep 15 18:12:07 UTC 2025","Identity Service - Audit Log Operations","api/features/identity/audit-logs/happy-path/audit-operations.api.spec.ts","",""
"","203","should list tenants with typed client","🏢 Business Operations","Mon Sep 15 18:13:44 UTC 2025","failed","Mon Sep 15 18:13:45 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","342","should assign role to user","Role Management","Mon Sep 15 18:12:59 UTC 2025","failed","Mon Sep 15 18:12:59 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","0","should validate password reset token","chromium","Mon Sep 15 18:12:36 UTC 2025","skipped","Mon Sep 15 18:12:36 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","320","should revoke permission from user","Permission Management","Mon Sep 15 18:12:45 UTC 2025","failed","Mon Sep 15 18:12:45 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","500","should resend invitation","User Invitations","Mon Sep 15 18:12:29 UTC 2025","failed","Mon Sep 15 18:12:30 UTC 2025","Identity Service - Invitation Operations","api/features/identity/invitations/happy-path/invitation-operations.api.spec.ts","",""
"This test validates the complete tenant creation workflow from a business perspective, ensuring all required data is captured and the tenant is properly initialized.","132","Super Admin can successfully onboard a new accounting firm","🏢 Business Operations","Mon Sep 15 18:13:34 UTC 2025","failed","Mon Sep 15 18:13:34 UTC 2025","New Tenant Onboarding","Tenant Lifecycle Management","",""
