"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","should handle typed error responses for duplicate tenant","🏢 Business Operations","Fri Sep 12 14:40:10 UTC 2025","failed","Fri Sep 12 14:40:10 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","240","should reject login with invalid password","chromium","Fri Sep 12 14:38:29 UTC 2025","passed","Fri Sep 12 14:38:29 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","202","should return 404 when getting tenant by non-existing name","🏢 Business Operations","Fri Sep 12 14:39:53 UTC 2025","failed","Fri Sep 12 14:39:53 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","186","should revoke permission from user","Permission Management","Fri Sep 12 14:39:06 UTC 2025","failed","Fri Sep 12 14:39:06 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","193","should delete role","Role Management","Fri Sep 12 14:39:14 UTC 2025","failed","Fri Sep 12 14:39:14 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","188","should prevent creating tenant with duplicate admin email","🏢 Business Operations","Fri Sep 12 14:39:49 UTC 2025","failed","Fri Sep 12 14:39:49 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","132","should create client within tenant","chromium","Fri Sep 12 14:39:38 UTC 2025","passed","Fri Sep 12 14:39:38 UTC 2025","Multi-User Context Example Tests > Tenant Operations (TenantAdmin)","api/features/multi-user-example.spec.ts","",""
"","0","should list all active sessions for user","chromium","Fri Sep 12 14:39:22 UTC 2025","skipped","Fri Sep 12 14:39:22 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","0","should get session by ID","chromium","Fri Sep 12 14:39:22 UTC 2025","skipped","Fri Sep 12 14:39:22 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","0","should increase user and storage limits","chromium","Fri Sep 12 14:40:12 UTC 2025","skipped","Fri Sep 12 14:40:12 UTC 2025","Tenant Management - Subscription Operations","api/features/tenant-management/subscription/happy-path/subscription-management.api.spec.ts","",""
"","190","should create tenant with typed client from @btshift/tenant-management-types","🏢 Business Operations","Fri Sep 12 14:40:05 UTC 2025","failed","Fri Sep 12 14:40:05 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","200","should successfully send welcome email after tenant activation","🏢 Business Operations","Fri Sep 12 14:40:02 UTC 2025","failed","Fri Sep 12 14:40:02 UTC 2025","New Tenant Onboarding","Tenant Lifecycle Management","",""
"","0","should get session activity history","chromium","Fri Sep 12 14:39:22 UTC 2025","skipped","Fri Sep 12 14:39:22 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","195","should verify tenant exists check returns true for existing tenant","🏢 Business Operations","Fri Sep 12 14:39:50 UTC 2025","failed","Fri Sep 12 14:39:50 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","249","should reject refresh token with invalid refresh token","Authentication","Fri Sep 12 14:38:32 UTC 2025","failed","Fri Sep 12 14:38:32 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","1","should change password for authenticated user","chromium","Fri Sep 12 14:38:56 UTC 2025","skipped","Fri Sep 12 14:38:56 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
