"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","should get current user information with typed ctx.client","🔐 Security & Access","Fri Sep 12 07:19:40 UTC 2025","failed","Fri Sep 12 07:19:41 UTC 2025","User Login Process","Authentication Systems","",""
"","332","should update an existing group","👥 Client Services","Fri Sep 12 07:19:01 UTC 2025","failed","Fri Sep 12 07:19:01 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","312","should track assignment metadata","👥 Client Services","Fri Sep 12 07:19:21 UTC 2025","failed","Fri Sep 12 07:19:21 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","201","should return 404 when getting tenant by non-existing ID","🏢 Business Operations","Fri Sep 12 07:20:48 UTC 2025","failed","Fri Sep 12 07:20:48 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","455","should create client group with typed client","👥 Client Services","Fri Sep 12 07:18:54 UTC 2025","failed","Fri Sep 12 07:18:55 UTC 2025","Client Management - CRUD with Typed NPM Packages","Client Operations","",""
"","198","should create tenant with typed client from @btshift/tenant-management-types","🏢 Business Operations","Fri Sep 12 07:20:57 UTC 2025","failed","Fri Sep 12 07:20:58 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","1","should change password for authenticated user","chromium","Fri Sep 12 07:19:55 UTC 2025","skipped","Fri Sep 12 07:19:55 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","198","should verify tenant exists check returns false for non-existing tenant","🏢 Business Operations","Fri Sep 12 07:20:45 UTC 2025","failed","Fri Sep 12 07:20:45 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","1","should track session activity","chromium","Fri Sep 12 07:20:20 UTC 2025","skipped","Fri Sep 12 07:20:20 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","260","should reject login with invalid email","Authentication","Fri Sep 12 07:19:28 UTC 2025","passed","Fri Sep 12 07:19:28 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","313","should handle pagination for user-client associations","👥 Client Services","Fri Sep 12 07:19:19 UTC 2025","failed","Fri Sep 12 07:19:19 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","193","should get tenant by ID with typed client","🏢 Business Operations","Fri Sep 12 07:20:59 UTC 2025","failed","Fri Sep 12 07:20:59 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","314","should delete client with typed client","👥 Client Services","Fri Sep 12 07:18:58 UTC 2025","failed","Fri Sep 12 07:18:58 UTC 2025","Client Management - CRUD with Typed NPM Packages","Client Operations","",""
"","191","should list tenants and include the created tenant","🏢 Business Operations","Fri Sep 12 07:20:56 UTC 2025","failed","Fri Sep 12 07:20:56 UTC 2025","New Tenant Onboarding","Tenant Lifecycle Management","",""
"","606","should refresh token with typed ctx.client","🔐 Security & Access","Fri Sep 12 07:19:41 UTC 2025","passed","Fri Sep 12 07:19:42 UTC 2025","User Login Process","Authentication Systems","",""
"","193","should automatically use appropriate context","chromium","Fri Sep 12 07:20:36 UTC 2025","failed","Fri Sep 12 07:20:36 UTC 2025","Multi-User Context Example Tests > Auto-Context Selection","api/features/multi-user-example.spec.ts","",""
"","199","should deactivate and reactivate user","User Management","Fri Sep 12 07:20:31 UTC 2025","failed","Fri Sep 12 07:20:32 UTC 2025","Identity Service - User Management CRUD Operations","api/features/identity/user-management/happy-path/user-crud.api.spec.ts","",""
"","0","should get session by ID","chromium","Fri Sep 12 07:20:20 UTC 2025","skipped","Fri Sep 12 07:20:20 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","192","should get all clients assigned to a user","👥 Client Services","Fri Sep 12 07:19:18 UTC 2025","failed","Fri Sep 12 07:19:18 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","135","should reject login with malformed email","chromium","Fri Sep 12 07:19:29 UTC 2025","passed","Fri Sep 12 07:19:29 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","0","should detect concurrent sessions","chromium","Fri Sep 12 07:20:20 UTC 2025","skipped","Fri Sep 12 07:20:20 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
